Text,快樂,難過,害怕,憤怒,愛,驚喜,備註
i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,1,,,,,,我成功地拉伸了一塊mxm的畫布。我認為這對我來說本身就是一項成就，並且對我的金錢和時間來說是值得的。我將在未來的簡報中使用這塊畫布。
i think feelings are one of nay the most important things we have,1,,,,,,我認為情感是我們擁有的最重要的事情之一。
i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,1,,,,1,,我很榮幸能成為這位年輕、才華橫溢、充滿活力的美麗女孩/女人的影響。
i feel angered and firey,,,,1,,,我感到憤怒和火熱。
i feel like a miserable piece of garbage,,,,,,,
i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,,,,,,,描述了需要做一個清單，並提到Leanne可能不喜歡這個想法。
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,,,,,,1,描述了送Dannika上學，轉彎時看到了一些讓自己感到驚訝的事情。
i remember feeling so hellip furious with the shooter,,,,1,,,回憶起對槍擊案兇手感到非常憤怒。
i feel very happy and excited since i learned so many things,1,,,,,,表達了快樂和興奮的心情，因為學到了很多東西。
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,,,,,,,描述了在馬術表演中人們感到信任和放鬆的氛圍，因為馬匹通常很安全和安靜。
i only have a couple of things left to make and at the start of december i am done and feeling smug,1,,,,,,描述了快要完成工作並感到自滿的心情。
i think about how u could make me feel and realize that everything will be ok,1,,,,1,,思考某人如何帶給自己好的感覺，並意識到一切都會好起來。
i feel so worthless during those times i was struggling finding work,,1,,,,,在找工作困難的時期，感到自己毫無價值。
i will be able to lay on my bed in the dark and not feel terrified at least for a while,,,1,,,,描述了能夠躺在床上而不感到恐懼的心情，至少在一段時間內。
i was ready to meet mom in the airport and feel her ever supportive arms around me,1,,,,1,,表達了對與母親在機場相遇的期待和被支持的愛。
im feeling bitter today my mood has been strange the entire day so i guess its that,,1,,1,,,表達了憤怒和苦澀的情緒，並表明心情不好。
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,,1,,,1,,敘述了叔叔因車禍去世的悲傷事件，以及叔叔對自己的愛。
i am letting go of the animosity that is towards anyone that i feel has wronged me,,,,1,,,表達了放下對他人的怨恨的意願。
i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,1,,,,1,,表達了對狗的喜愛和支持，並決定回家。
i feel like throwing away the shitty piece of shit paper,,,,1,,,表達了對某件事物的強烈憤怒和厭惡。
im starting to feel wryly amused at the banal comedy of errors my life is turning into,1,,,,,,表達了對生活中一連串錯誤的幽默感。
i find every body beautiful and only want people to feel vital in their bodies,1,,,,1,,表達了對所有人的愛，以及希望人們感到充滿活力的願望。
i hear are owners who feel victimized by their associations the associations attorneys or the property manager,,1,1,1,,,表達了房主對協會、律師或物業經理感到受害的感受。
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,1,1,,,1,1,告別家人，雖然家人難過，但自己卻對第一次飛行和在國外生活感到興奮，並為此感到些許內疚。
